book,word count,prefix,size of prefix,time (ms),number of results
alice_wonderland.txt,29463,al,2,24682,22
alice_wonderland.txt,29463,ali,3,3527,4
alice_wonderland.txt,29463,alic,4,2691,3
alice_wonderland.txt,29463,an,2,16431,23
alice_wonderland.txt,29463,and,3,1880,2
alice_wonderland.txt,29463,ans,3,2399,3
alice_wonderland.txt,29463,be,2,29455,47
alice_wonderland.txt,29463,beg,3,4765,7
alice_wonderland.txt,29463,bec,3,3374,4
alice_wonderland.txt,29463,bee,3,1656,2
alice_wonderland.txt,29463,bo,2,12488,22
alice_wonderland.txt,29463,boo,3,3710,5
alice_wonderland.txt,29463,bod,3,1230,1
alice_wonderland.txt,29463,ca,2,29284,48
alice_wonderland.txt,29463,cat,3,4752,7
alice_wonderland.txt,29463,car,3,10344,13
alice_wonderland.txt,29463,cal,3,4181,6
alice_wonderland.txt,29463,cha,3,9588,14
alice_wonderland.txt,29463,chap,4,1669,1
alice_wonderland.txt,29463,char,4,4249,5
alice_wonderland.txt,29463,che,3,7443,10
alice_wonderland.txt,29463,chi,3,6361,9
alice_wonderland.txt,29463,co,2,63533,95
alice_wonderland.txt,29463,com,3,14528,22
alice_wonderland.txt,29463,cou,3,7728,12
alice_wonderland.txt,29463,con,3,25882,38
alice_wonderland.txt,29463,da,2,12775,20
alice_wonderland.txt,29463,dar,3,2696,4
alice_wonderland.txt,29463,day,3,2309,3
alice_wonderland.txt,29463,do,2,21526,35
alice_wonderland.txt,29463,don,3,4120,6
alice_wonderland.txt,29463,dou,3,4161,6
alice_wonderland.txt,29463,dr,2,16637,26
alice_wonderland.txt,29463,dre,3,5194,8
alice_wonderland.txt,29463,dra,3,4233,6
alice_wonderland.txt,29463,ea,2,8375,15
alice_wonderland.txt,29463,ear,3,3300,5
alice_wonderland.txt,29463,eat,3,2458,4
alice_wonderland.txt,29463,ev,2,5866,9
alice_wonderland.txt,29463,eve,3,4264,7
alice_wonderland.txt,29463,ever,4,3326,5
alice_wonderland.txt,29463,eve,3,3758,7
alice_wonderland.txt,29463,fa,2,23437,36
alice_wonderland.txt,29463,fal,3,2339,3
alice_wonderland.txt,29463,fam,3,2037,2
alice_wonderland.txt,29463,fi,2,24590,40
alice_wonderland.txt,29463,fin,3,6191,9
alice_wonderland.txt,29463,fir,3,4821,6
alice_wonderland.txt,29463,fo,2,22742,37
alice_wonderland.txt,29463,for,3,9375,16
alice_wonderland.txt,29463,forg,4,3292,4
alice_wonderland.txt,29463,fr,2,11374,16
alice_wonderland.txt,29463,fri,3,3674,5
alice_wonderland.txt,29463,fro,3,5432,6
alice_wonderland.txt,29463,ga,2,8081,11
alice_wonderland.txt,29463,gam,3,1718,2
alice_wonderland.txt,29463,gat,3,1235,1
alice_wonderland.txt,29463,go,2,8310,14
alice_wonderland.txt,29463,gon,3,1256,1
alice_wonderland.txt,29463,goo,3,3561,5
alice_wonderland.txt,29463,gr,2,20982,35
alice_wonderland.txt,29463,gro,3,6570,11
alice_wonderland.txt,29463,gre,3,2543,4
alice_wonderland.txt,29463,ha,2,23028,37
alice_wonderland.txt,29463,had,3,1656,2
alice_wonderland.txt,29463,hap,3,3494,5
alice_wonderland.txt,29463,hat,3,3786,7
alice_wonderland.txt,29463,hea,3,6430,12
alice_wonderland.txt,29463,hea,3,6074,12
alice_wonderland.txt,29463,hel,3,3159,5
alice_wonderland.txt,29463,he,2,17574,32
alice_wonderland.txt,29463,her,3,4815,6
alice_wonderland.txt,29463,hes,3,1483,1
alice_wonderland.txt,29463,ho,2,16933,27
alice_wonderland.txt,29463,hou,3,3193,5
alice_wonderland.txt,29463,how,3,3194,4
alice_wonderland.txt,29463,hum,3,2039,2
alice_wonderland.txt,29463,ki,2,6814,12
alice_wonderland.txt,29463,kin,3,2290,4
alice_wonderland.txt,29463,la,2,20207,34
alice_wonderland.txt,29463,lad,3,2979,3
alice_wonderland.txt,29463,lar,3,2638,4
alice_wonderland.txt,29463,lat,3,3359,5
alice_wonderland.txt,29463,li,2,21064,37
alice_wonderland.txt,29463,lit,3,2692,3
alice_wonderland.txt,29463,lit,3,2954,3
alice_wonderland.txt,29463,lo,2,21353,36
alice_wonderland.txt,29463,lon,3,3976,6
alice_wonderland.txt,29463,loo,3,4082,6
